0,0.6222323761,-0.5690907297,0.0947786103,-1.313319153,-1.313319153,11.8937172263,0.2845453649
0.1,0.6228860086,-0.5690291046,0.0947534495,-1.3117997846,-1.3117997846,11.9035849126,0.2845145523
0.2,0.623541241,-0.5689674383,0.0947282805,-1.310277004,-1.310277004,11.9134749624,0.2844837192
0.3,0.6241980793,-0.5689057309,0.0947031035,-1.3087507993,-1.3087507993,11.9233874613,0.2844528655
0.4,0.6248565298,-0.5688439824,0.0946779183,-1.3072211587,-1.3072211587,11.9333224952,0.2844219912
0.5,0.6255165987,-0.5687821926,0.094652725,-1.3056880702,-1.3056880702,11.9432801506,0.2843910963
0.6,0.6261782922,-0.5687203618,0.0946275237,-1.3041515218,-1.3041515218,11.9532605144,0.2843601809
0.7,0.6268416166,-0.5686584897,0.0946023144,-1.3026115016,-1.3026115016,11.9632636739,0.2843292449
0.8,0.6275065782,-0.5685965765,0.094577097,-1.3010679973,-1.3010679973,11.9732897169,0.2842982883
0.9,0.6281731834,-0.5685346221,0.0945518716,-1.2995209969,-1.2995209969,11.9833387317,0.2842673111
1,0.6288414384,-0.5684726265,0.0945266382,-1.2979704882,-1.2979704882,11.993410807,0.2842363133
1.1,0.6295113497,-0.5684105897,0.0945013969,-1.2964164588,-1.2964164588,12.003506032,0.2842052949
1.2,0.6301829238,-0.5683485117,0.0944761476,-1.2948588963,-1.2948588963,12.0136244962,0.2841742559
1.3,0.6308561671,-0.5682863925,0.0944508905,-1.2932977885,-1.2932977885,12.0237662898,0.2841431963
1.4,0.6315310862,-0.5682242321,0.0944256254,-1.2917331228,-1.2917331228,12.0339315034,0.2841121161
1.5,0.6322076875,-0.5681620305,0.0944003524,-1.2901648867,-1.2901648867,12.0441202279,0.2840810153
1.6,0.6328859776,-0.5680997877,0.0943750716,-1.2885930675,-1.2885930675,12.054332555,0.2840498938
1.7,0.6335659632,-0.5680375036,0.0943497829,-1.2870176527,-1.2870176527,12.0645685767,0.2840187518
1.8,0.6342476508,-0.5679751783,0.0943244864,-1.2854386295,-1.2854386295,12.0748283853,0.2839875891
1.9,0.6349310472,-0.5679128117,0.0942991821,-1.2838559852,-1.2838559852,12.0851120739,0.2839564059
2,0.6356161591,-0.567850404,0.0942738701,-1.2822697067,-1.2822697067,12.0954197359,0.283925202
2.1,0.6363029932,-0.567787955,0.0942485503,-1.2806797813,-1.2806797813,12.1057514654,0.2838939775
2.2,0.6369915564,-0.5677254647,0.0942232228,-1.279086196,-1.279086196,12.1161073567,0.2838627323
2.3,0.6376818554,-0.5676629332,0.0941978875,-1.2774889376,-1.2774889376,12.1264875048,0.2838314666
2.4,0.638373897,-0.5676003604,0.0941725446,-1.2758879931,-1.2758879931,12.1368920052,0.2838001802
2.5,0.6390676883,-0.5675377464,0.094147194,-1.2742833493,-1.2742833493,12.1473209537,0.2837688732
2.6,0.6397632361,-0.5674750912,0.0941218358,-1.2726749929,-1.2726749929,12.157774447,0.2837375456
2.7,0.6404605473,-0.5674123947,0.09409647,-1.2710629106,-1.2710629106,12.1682525819,0.2837061973
2.8,0.6411596291,-0.5673496569,0.0940710966,-1.2694470889,-1.2694470889,12.178755456,0.2836748285
2.9,0.6418604884,-0.5672868779,0.0940457156,-1.2678275145,-1.2678275145,12.1892831672,0.2836434389
