0.	0.
0.025	-0.00707355302630646
0.05	-0.01414710605261292
0.075	-0.021220659078919384
0.1	-0.02829421210522584
0.125	-0.035367765131532294
0.15	-0.04244131815783877
0.175	-0.04951487118414522
0.2	-0.05658842421045168
0.225	-0.06366197723675814
0.25	-0.07073553026306459
0.275	-0.07780908328937107
0.3	-0.08488263631567754
0.325	-0.09195618934198396
0.35	-0.09902974236829044
0.375	-0.1061032953945969
0.4	-0.11317684842090336
0.425	-0.12025040144720983
0.45	-0.12732395447351627
0.475	-0.13439750749982274
0.5	-0.14147106052612918
0.525	-0.14854461355243564
0.55	-0.15561816657874214
0.575	-0.1626917196050486
0.6	-0.16976527263135507
0.625	-0.1768388256576615
0.65	-0.18391237868396793
0.675	-0.19098593171027442
0.7	-0.1980594847365809
0.725	-0.20513303776288735
0.75	-0.2122065907891938
0.775	-0.21928014381550026
0.8	-0.22635369684180673
0.825	-0.2334272498681132
0.85	-0.24050080289441966
0.875	-0.24757435592072607
0.9	-0.25464790894703254
0.925	-0.261721461973339
0.95	-0.2687950149996455
0.975	-0.27586856802595194
1.	-0.28294212105225836
1.025	-0.2900156740785649
1.05	-0.2970892271048713
1.075	-0.30416278013117776
1.1	-0.3112363331574843
1.125	-0.3183098861837907
1.15	-0.3253834392100972
1.175	-0.3324569922364036
1.2	-0.33953054526271015
1.225	-0.34660409828901656
1.25	-0.353677651315323
1.275	-0.36075120434162944
1.3	-0.36782475736793585
1.325	-0.3748983103942424
1.35	-0.38197186342054884
1.375	-0.38904541644685525
1.4	-0.3961189694731618
1.425	-0.4031925224994682
1.45	-0.4102660755257747
1.475	-0.4173396285520811
1.5	-0.4244131815783876
1.525	-0.43148673460469406
1.55	-0.4385602876310005
1.575	-0.445633840657307
1.6	-0.45270739368361346
1.625	-0.45978094670991987
1.65	-0.4668544997362264
1.675	-0.4739280527625328
1.7	-0.4810016057888393
1.725	-0.48807515881514574
1.75	-0.49514871184145215
1.775	-0.5022222648677587
1.8	-0.5092958178940651
1.825	-0.5163693709203716
1.85	-0.523442923946678
1.875	-0.5305164769729844
1.9	-0.537590029999291
1.925	-0.5446635830255974
1.95	-0.5517371360519039
1.975	-0.5588106890782103
2.	-0.5658842421045167
2.025	-0.5729577951308232
2.05	-0.5800313481571298
2.075	-0.5871049011834362
2.1	-0.5941784542097426
2.125	-0.6012520072360491
2.15	-0.6083255602623555
2.175	-0.615399113288662
2.2	-0.6224726663149686
2.225	-0.629546219341275
2.25	-0.6366197723675814
2.275	-0.6436933253938878
2.3	-0.6507668784201944
2.325	-0.6578404314465008
2.35	-0.6649139844728073
2.375	-0.6719875374991137
2.4	-0.6790610905254203
2.425	-0.6861346435517267
2.45	-0.6932081965780331
2.475	-0.7002817496043395
2.5	-0.707355302630646
2.525	-0.7144288556569525
2.55	-0.7215024086832589
2.575	-0.7285759617095653
2.6	-0.7356495147358717
2.625	-0.7427230677621782
2.65	-0.7497966207884847
2.675	-0.7568701738147912
2.7	-0.7639437268410977
2.725	-0.7710172798674041
2.75	-0.7780908328937105
2.775	-0.785164385920017
2.8	-0.7922379389463235
2.825	-0.79931149197263
2.85	-0.8063850449989364
2.875	-0.8134585980252428
2.9	-0.8205321510515494
2.925	-0.8276057040778558
2.95	-0.8346792571041622
2.975	-0.8417528101304687
3.	-0.8488263631567752
3.025	-0.8558999161830817
3.05	-0.8629734692093881
3.075	-0.8700470222356945
3.1	-0.877120575262001
3.125	-0.8841941282883075
3.15	-0.891267681314614
3.175	-0.8983412343409205
3.2	-0.9054147873672269
3.225	-0.9124883403935333
3.25	-0.9195618934198397
3.275	-0.9266354464461464
3.3	-0.9337089994724528
3.325	-0.9407825524987592
3.35	-0.9478561055250656
3.375	-0.954929658551372
3.4	-0.9620032115776787
3.425	-0.9690767646039851
3.45	-0.9761503176302915
3.475	-0.983223870656598
3.5	-0.9902974236829043
3.525	-0.9973709767092108
3.55	-1.0044445297355173
3.575	-1.0115180827618238
3.6	-1.0185916357881302
3.625	-1.0256651888144366
3.65	-1.0327387418407432
3.675	-1.0398122948670496
3.7	-1.046885847893356
3.725	-1.0539594009196624
3.75	-1.0610329539459689
3.775	-1.0681065069722755
3.8	-1.075180059998582
3.825	-1.0822536130248883
3.85	-1.0893271660511947
3.875	-1.0964007190775011
3.9	-1.1034742721038078
3.925	-1.1105478251301142
3.95	-1.1176213781564206
3.975	-1.124694931182727
4.	-1.1317684842090334
4.025	-1.13884203723534
4.05	-1.1459155902616465
4.075	-1.1529891432879529
4.1	-1.1600626963142595
4.125	-1.167136249340566
4.15	-1.1742098023668723
4.175	-1.1812833553931787
4.2	-1.1883569084194852
4.225	-1.1954304614457918
4.25	-1.2025040144720982
4.275	-1.2095775674984046
4.3	-1.216651120524711
4.325	-1.2237246735510177
4.35	-1.230798226577324
4.375	-1.2378717796036305
4.4	-1.2449453326299371
4.425	-1.2520188856562433
4.45	-1.25909243868255
4.475	-1.2661659917088564
4.5	-1.2732395447351628
4.525	-1.2803130977614692
4.55	-1.2873866507877756
4.575	-1.294460203814082
4.6	-1.3015337568403889
4.625	-1.308607309866695
4.65	-1.3156808628930017
4.675	-1.3227544159193079
4.7	-1.3298279689456145
4.725	-1.336901521971921
4.75	-1.3439750749982273
4.775	-1.3510486280245337
4.8	-1.3581221810508406
4.825	-1.3651957340771468
4.85	-1.3722692871034534
4.875	-1.3793428401297596
4.9	-1.3864163931560662
4.925	-1.3934899461823727
4.95	-1.400563499208679
4.975	-1.4076370522349857
5.	-1.414710605261292
5.025	-1.4217841582875985
